ID 	How_often	Work_Din	Aperitif	Rom_Din	Spec_Occ	Place	Reasons	Meaning	Percept	Pl_Origin	W_Brand	Price	Pack	Quality	Info_lab	Sal_rec	F_rec	Provenance	Tech_inf	D_taste	Fbsw	Brand	History	Loyalty	Unloyal	List_Adv	G_info	Fr_rec	M_C_P	M_C_I_P	Know_it	Tried_w	Why_it_w	J_I_P	IT_Vs_Am	Dryness	Sweet	Oak	Fruity	Still	Spark	Red	White	D_of_B	Today	Age	Sex	Ed_level	City	Area 	Urb_rur	Home_con	Sp_occ	Gift	Format	It_brands	Job
369	6	2	5	5	5	1	1	2	2	5	3	4	1	5	5	4	4	5	5	3	3	3	2	1	5	4	2	4	2	1	1	1	1	1	2	5	1	1	4	5	2	5	4	13/4/1962	04/06/2014	52	1	5	3	3	1	2	3	3	1	1	1
370	4	5	5	5	5	1	1	2	2	5	4	2	2	5	4	4	4	5	5	3	1	2	1	2	4	1	2	4	3	1	1	1	1	1	2	4	2	3	3	5	3	5	3	NA	04/06/2014	NA	2	3	3	3	1	3	3	3	1	3	2
371	4	2	4	4	4	4	1	2	2	1	3	2	2	5	2	2	3	3	1	1	1	2	1	3	2	1	1	3	3	2	1	1	2	3	3	4	1	2	4	2	5	3	3	13/1/1956	04/06/2014	58	1	5	3	3	1	3	3	3	1	1	1
372	4	3	5	5	5	1	1	1	2	3	3	3	3	5	3	4	5	4	5	3	4	5	5	3	4	4	2	3	3	1	1	1	1	1	2	5	4	2	4	3	3	5	4	28/10/1970	04/06/2014	44	1	3	3	3	1	2	3	3	1	2	6
373	6	2	5	5	5	1	1	1	2	3	3	5	2	5	4	3	4	4	2	3	4	3	2	3	2	2	3	4	2	5	1	1	1	1	1	4	1	1	3	4	4	4	4	14/8/1965	04/06/2014	49	2	3	3	3	1	1	2	2	1	1	1
374	2	5	5	5	5	2	1	2	2	4	3	3	3	4	3	4	4	5	5	5	3	3	3	2	3	4	1	4	3	1	1	1	1	2	1	2	1	3	4	5	3	5	1	NA	04/06/2014	NA	2	3	3	3	1	2	3	2	1	6	6
375	4	2	5	5	5	1	1	5	2	3	3	3	2	5	4	2	4	5	4	3	3	4	2	2	3	2	3	3	2	1	1	1	1	2	1	5	1	2	1	5	5	5	5	21/8/2014	04/06/2014	NA	1	4	70	6	1	2	3	3	1	5	2
376	6	3	5	5	5	1	1	2	2	3	3	5	2	4	4	4	5	4	4	4	3	3	3	2	4	3	2	4	1	5	2	1	2	2	2	4	2	2	3	5	5	4	5	6/7/1952	04/06/2014	62	2	4	3	3	1	1	3	3	1	6	1
377	4	4	5	5	5	2	1	1	2	5	5	3	3	5	4	2	4	5	4	5	4	5	4	2	5	3	5	3	3	1	1	1	1	2	2	4	3	4	5	5	2	5	4	27/5/1959	04/06/2014	55	2	4	14	6	1	2	3	3	1	1	7
378	4	5	5	5	5	1	1	1	2	5	4	4	3	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3	2	4	2	1	5	3	2	4	3	1	4	5	3	5	4	20/2/1968	04/06/2014	46	2	4	3	3	1	1	2	3	1	6	3
379	5	5	5	5	5	2	1	2	2	4	3	3	3	5	3	4	4	4	3	4	5	3	3	2	4	3	5	4	2	1	1	1	3	2	1	4	1	3	2	4	3	5	3	17/3/1971	04/06/2014	43	1	4	3	3	1	2	3	3	1	6	2
380	5	4	5	5	5	1	1	2	2	4	4	4	2	5	4	3	5	5	3	1	1	4	2	2	3	3	4	4	1	2	1	1	2	2	2	4	2	3	4	5	4	5	4	26/9/1967	04/06/2014	47	1	4	3	3	2	2	3	2	1	2	3
381	4	1	5	5	5	1	1	2	2	2	2	3	1	5	4	4	4	4	4	4	4	3	4	2	4	2	2	2	2	2	1	2	3	2	1	5	1	5	2	5	4	5	3	4/1/1956	04/06/2014	58	1	5	3	3	1	2	3	2	1	6	1
382	5	5	5	5	5	4	1	1	2	4	2	3	2	4	2	3	4	2	2	3	3	2	2	1	3	2	2	4	2	3	1	1	2	2	2	4	2	3	4	3	2	5	4	1/1/1948	04/06/2014	66	2	5	3	3	1	1	3	2	1	1	1
383	4	5	5	5	5	1	1	2	2	3	2	3	3	5	4	4	5	3	4	4	2	2	2	2	3	3	1	5	3	5	1	1	2	3	2	4	2	3	4	5	4	5	3	17/6/1961	04/06/2014	53	2	3	3	3	1	1	3	3	1	1	1
384	6	2	5	5	4	1	1	2	1	2	3	3	1	4	2	5	4	3	2	4	4	3	1	3	2	3	1	4	1	5	1	1	4	3	2	3	1	4	3	1	2	5	4	16/5/1947	04/06/2014	67	2	4	3	3	1	1	2	3	1	2	1
